1,3,Third, 25,0
2,2,Second, 50,0
3,1,First, 100,0
4,4,Fourth, 0,5
5,1,First Place, 0,100
6,1,First Place Prize, 0,100
7,1,First Place, 0,100
8,1,First Place, 0,100
9,1,First Place, 0,100
10,1,First Place, 0,100
11,1,First Round Prize, 0,100
12,1,First Round, 0,100
13,1,First Broken Tournament File, 0,100
14,1,Broken Tournament 2 First Prize, 0,100
15,1,First Place Prize, 0,100
16,1,The First Place Name, 0,100
17,1,First Place, 0,100
18,1,First Prize Yo, 0,100
19,1,First Place Prize, 0,100
20,1,First Place, 0,100
21,1,First Place Trophy, 0,100
22,1,FIRST Place Prize, 0,100
23,1,First Round Place, 0,100
24,1,First Prize, 0,100
25,1,First Place Prize, 0,100
26,3,Third Place, 0,100
27,1,First Place, 0,100
